"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\SCurveChart.tsx", "TypeScript JSX", -194, 0, 0, -6, -17, -217
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\SmartCards.tsx", "TypeScript JSX", -242, 0, 0, -11, -25, -278
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\ViewModeSwitcher.tsx", "TypeScript JSX", -34, 0, 0, 0, -5, -39
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\suprimentos\MatrizDecisao.tsx", "TypeScript JSX", -239, 0, 0, -5, -18, -262
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\HelpPopover.tsx", "TypeScript JSX", -41, 0, 0, 0, -3, -44
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\accordion.tsx", "TypeScript JSX", -45, 0, 0, 0, -8, -53
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\alert-dialog.tsx", "TypeScript JSX", -91, 0, 0, 0, -14, -105
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\alert.tsx", "TypeScript JSX", -37, 0, 0, 0, -7, -44
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\aspect-ratio.tsx", "TypeScript JSX", -3, 0, 0, 0, -3, -6
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\autocomplete-input.tsx", "TypeScript JSX", -94, 0, 0, -4, -9, -107
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\avatar.tsx", "TypeScript JSX", -33, 0, 0, 0, -6, -39
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\badge.tsx", "TypeScript JSX", -24, 0, 0, 0, -6, -30
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\breadcrumb.tsx", "TypeScript JSX", -80, 0, 0, 0, -11, -91
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\button.tsx", "TypeScript JSX", -42, 0, 0, 0, -6, -48
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\calendar.tsx", "TypeScript JSX", -50, 0, 0, 0, -5, -55
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\card.tsx", "TypeScript JSX", -35, 0, 0, 0, -9, -44
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\carousel.tsx", "TypeScript JSX", -195, 0, 0, 0, -30, -225
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\chart.tsx", "TypeScript JSX", -266, 0, 0, -2, -36, -304
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\checkbox.tsx", "TypeScript JSX", -23, 0, 0, 0, -4, -27
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\collapsible.tsx", "TypeScript JSX", -5, 0, 0, 0, -5, -10
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\command.tsx", "TypeScript JSX", -115, 0, 0, 0, -18, -133
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\context-menu.tsx", "TypeScript JSX", -161, 0, 0, 0, -18, -179
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\dialog.tsx", "TypeScript JSX", -83, 0, 0, 0, -13, -96
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\drawer.tsx", "TypeScript JSX", -75, 0, 0, 0, -13, -88
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", -162, 0, 0, 0, -18, -180
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\form.tsx", "TypeScript JSX", -105, 0, 0, 0, -25, -130
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\hover-card.tsx", "TypeScript JSX", -22, 0, 0, 0, -6, -28
