"filename", "language", "JSON with Comments", "TypeScript", "JSON", "SQLite", "Markdown", "Dotenv", "JavaScript", "HTML", "PostCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\DiarioTimelineView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 11, 133
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\GanttChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 2, 16, 154
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\ObraCalendarView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 321, 0, 11, 33, 365
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\ObraHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 5, 65
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PagamentosCalendarView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 5, 20, 177
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PagamentosResumoMensal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 8, 78
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PagamentosTimelineView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 7, 15, 166
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PainelUnifiedListView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 16, 174
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PendenciasBlock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 3, 13, 122
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PendenciasTimelineView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 10, 112
