"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JSON with Comments", "JSON", "SQLite", "Markdown", "Dotenv", "JavaScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260409154100_f5198d07-2bc0-4201-85d5-a62fd649beed.sql", "SQLite", 0, 0, 0, 0, 0, -33, 0, 0, 0, 0, 0, -8, -10, -51
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260412040000_fix_owner_trigger.sql", "SQLite", 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, -4, -4, -28
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260412041257_nome_da_migration.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260412041528_20260412040000_fix_owner_trigge.sql", "SQLite", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260413233858_133c26a8-aa66-45dc-ae07-9f426a7a8b5e.sql", "SQLite", 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, 0, 0, -5, -32
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260414011936_9c2ddf15-a9d7-407a-898b-6cdbc235e6e0.sql", "SQLite", 0, 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, -8, -32
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260414020356_44eb8ede-3d54-4176-9af2-9700c83bf279.sql", "SQLite", 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, -3, -19
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260414031905_81bbe6f5-ea2d-497e-8036-00f045484f52.sql", "SQLite", 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, -4, -24
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\tailwind.config.ts", "TypeScript", -103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -105
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\tsconfig.app.json", "JSON", 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, -35
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\tsconfig.json", "JSON with Comments", 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\tsconfig.node.json", "JSON", 0, 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, -2, -3, -23
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\vite.config.ts", "TypeScript", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -23
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\vitest.config.ts", "TypeScript", -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -17
"Total", "-", -2129, 12674, 45, -698, -8941, -846, -253, -8, -575, -27, -40, 612, 20, -166
